ordernumber,quantityordered,priceeach,orderlinenumber,orderdate,sales,status,productline,msrp,productcode,customername,phone,address,city,state,postalcode,country,territory,contactname,dealsize
10107,30,95.7,2,24-Feb-03,2871,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,Kwai Yu,Small
10121,34,81.35,5,7-May-03,2765.9,Shipped,Motorcycles,95,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,Reims,Not Applicable,51100,France,EMEA,Paul Henriot,Small
10134,41,94.74,2,1-Jul-03,3884.34,Shipped,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,Not Applicable,75508,France,EMEA,Daniel Da Cunha,Medium
10145,45,83.26,6,25-Aug-03,3746.7,Shipped,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,NA,Julie Young,Medium
10159,49,100,14,10-Oct-03,5205.27,Shipped,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,N/A,USA,NA,Julie Brown,Medium
10168,36,96.66,1,28-Oct-03,3479.76,Shipped,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,NA,Juri Hirano,Medium
10180,29,86.13,9,11-Nov-03,2497.77,Shipped,Motorcycles,95,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,Not Applicable,59000,France,EMEA,Martine Rance,Small
10188,48,100,1,18-Nov-03,5512.32,Shipped,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Not Applicable,N 5804,Norway,EMEA,Veysel Oeztan,Medium
10201,22,98.57,2,1-Dec-03,2168.54,Shipped,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,N/A,USA,NA,Julie Murphy,Small
10211,41,100,14,15-Jan-04,4708.44,Shipped,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",Paris,Not Applicable,75016,France,EMEA,Dominique Perrier,Medium
10223,37,100,1,20-Feb-04,3965.66,Shipped,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Peter Ferguson,Medium
10237,23,100,7,5-Apr-04,2333.12,Shipped,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,NA,Michael Frick,Small
10251,28,100,2,18-May-04,3188.64,Shipped,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,NA,William Brown,Medium
10263,34,100,2,28-Jun-04,3676.76,Shipped,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,NA,Julie King,Medium
10275,45,92.83,1,23-Jul-04,4177.35,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,Not Applicable,44000,France,EMEA,Janine Labrune,Medium
10285,36,100,6,27-Aug-04,4099.68,Shipped,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,NA,Marta Hernandez,Medium
10299,23,100,9,30-Sep-04,2597.39,Shipped,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,Helsinki,Not Applicable,21240,Finland,EMEA,Matti Karttunen,Small
10309,41,100,5,15-Oct-04,4394.38,Shipped,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,Not Applicable,4110,Norway,EMEA,Jonas Bergulfsen,Medium
10318,46,94.74,1,2-Nov-04,4358.04,Shipped,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,NA,Kyung Yu,Medium
10329,42,100,1,15-Nov-04,4396.14,Shipped,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,Kwai Yu,Medium
10341,41,100,9,24-Nov-04,7737.93,Shipped,Motorcycles,95,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,Salzburg,Not Applicable,5020,Austria,EMEA,Georg Pipps,Large
10361,20,72.55,13,17-Dec-04,1451,Shipped,Motorcycles,95,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Adrian Huxley,Small
10375,21,34.91,12,3-Feb-05,733.11,Shipped,Motorcycles,95,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Nantes,Not Applicable,44000,France,EMEA,Janine Labrune,Small
10388,42,76.36,4,3-Mar-05,3207.12,Shipped,Motorcycles,95,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,NA,Violeta Benitez,Medium
10403,24,100,7,8-Apr-05,2434.56,Shipped,Motorcycles,95,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,Not Applicable,WX1 6LT,UK,EMEA,Elizabeth Devon,Small
10417,66,100,2,13-May-05,7516.08,Disputed,Motorcycles,95,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Not Applicable,28034,Spain,EMEA,Diego Freyre,Large
10103,26,100,11,29-Jan-03,5404.62,Shipped,Classic Cars,214,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,Stavern,Not Applicable,4110,Norway,EMEA,Jonas Bergulfsen,Medium
10112,29,100,1,24-Mar-03,7209.11,Shipped,Classic Cars,214,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,Lule,Not Applicable,S-958 22,Sweden,EMEA,Christina Berglund,Large
10126,38,100,11,28-May-03,7329.06,Shipped,Classic Cars,214,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",Madrid,Not Applicable,28023,Spain,EMEA,Mart¡n Sommer,Large
10140,37,100,11,24-Jul-03,7374.1,Shipped,Classic Cars,214,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,NA,Juri Hirano,Large
10150,45,100,8,19-Sep-03,10993.5,Shipped,Classic Cars,214,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Not Applicable,79903,Singapore,Japan,Eric Natividad,Large
10163,21,100,1,20-Oct-03,4860.24,Shipped,Classic Cars,214,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,NY,10022,USA,NA,Maria Hernandez,Medium
10174,34,100,4,6-Nov-03,8014.82,Shipped,Classic Cars,214,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,APAC,Tony Calaghan,Large
10183,23,100,8,13-Nov-03,5372.57,Shipped,Classic Cars,214,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,USA,NA,Francisca Cervantes,Medium
10194,42,100,11,25-Nov-03,7290.36,Shipped,Classic Cars,214,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",Lyon,Not Applicable,69004,France,EMEA,Mary Saveley,Large
10206,47,100,6,5-Dec-03,9064.89,Shipped,Classic Cars,214,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,NA,Yoshi Tannamuri,Large
10215,35,100,3,29-Jan-04,6075.3,Shipped,Classic Cars,214,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,CA,94019,USA,NA,Steve Thompson,Medium
10228,29,100,2,10-Mar-04,6463.23,Shipped,Classic Cars,214,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,MA,51247,USA,NA,Kyung Tseng,Medium
10245,34,100,9,4-May-04,6120.34,Shipped,Classic Cars,214,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,CT,97823,USA,NA,Leslie Murphy,Medium
10258,32,100,6,15-Jun-04,7680.64,Shipped,Classic Cars,214,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Japan,Akiko Shimamura,Large
10270,21,100,9,19-Jul-04,4905.39,Shipped,Classic Cars,214,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,APAC,Adrian Huxley,Medium
10280,34,100,2,17-Aug-04,8014.82,Shipped,Classic Cars,214,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,Torino,Not Applicable,10100,Italy,EMEA,Paolo Accorti,Large
10291,37,100,11,8-Sep-04,7136.19,Shipped,Classic Cars,214,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,Boras,Not Applicable,S-844 67,Sweden,EMEA,Maria Larsson,Large
10304,47,100,6,11-Oct-04,10172.7,Shipped,Classic Cars,214,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",Versailles,Not Applicable,78000,France,EMEA,Daniel Tonini,Large
10312,48,100,3,21-Oct-04,11623.7,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,NA,Valarie Nelson,Large
10322,40,100,1,4-Nov-04,6000.4,Shipped,Classic Cars,214,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,NA,Valarie Young,Medium
10333,26,100,3,18-Nov-04,3003,Shipped,Classic Cars,214,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,N/A,USA,NA,Julie Murphy,Medium
10347,30,100,1,29-Nov-04,3944.7,Shipped,Classic Cars,214,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Peter Ferguson,Medium
10357,32,100,10,10-Dec-04,5691.84,Shipped,Classic Cars,214,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,NA,Valarie Nelson,Medium
10369,41,100,2,20-Jan-05,4514.92,Shipped,Classic Cars,214,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,NA,Allen Nelson,Medium
10381,36,100,3,17-Feb-05,8254.8,Shipped,Classic Cars,214,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,N/A,USA,NA,Julie Brown,Large
10391,24,100,4,9-Mar-05,2416.56,Shipped,Classic Cars,214,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,North Sydney,NSW,2060,Australia,APAC,Anna O'Hara,Small
10411,23,100,9,1-May-05,4140.23,Shipped,Classic Cars,214,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,NA,Jean Fresnisre,Medium
10424,50,100,6,31-May-05,12001,In Process,Classic Cars,214,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Not Applicable,28034,Spain,EMEA,Diego Freyre,Large
10107,39,99.91,5,24-Feb-03,3896.49,Shipped,Motorcycles,118,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,NA,Kwai Yu,Medium
10120,29,96.34,3,29-Apr-03,2793.86,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Peter Ferguson,Small
10134,27,100,5,1-Jul-03,3307.77,Shipped,Motorcycles,118,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,Not Applicable,75508,France,EMEA,Daniel Da Cunha,Medium
10145,37,100,9,25-Aug-03,5192.95,Shipped,Motorcycles,118,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,NA,Julie Young,Medium
10159,37,100,17,10-Oct-03,5016.83,Shipped,Motorcycles,118,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,N/A,USA,NA,Julie Brown,Medium
10168,27,100,4,28-Oct-03,3660.93,Shipped,Motorcycles,118,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,NA,Juri Hirano,Medium
10180,42,100,12,11-Nov-03,4695.6,Shipped,Motorcycles,118,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",Lille,Not Applicable,59000,France,EMEA,Martine Rance,Medium
10188,38,96.34,4,18-Nov-03,3660.92,Shipped,Motorcycles,118,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Not Applicable,N 5804,Norway,EMEA,Veysel Oeztan,Medium
10201,24,100,5,1-Dec-03,3025.92,Shipped,Motorcycles,118,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,N/A,USA,NA,Julie Murphy,Medium
10210,23,100,2,12-Jan-04,3009.09,Shipped,Motorcycles,118,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Japan,Mory Kentary,Medium
10223,47,100,4,20-Feb-04,5422.39,Shipped,Motorcycles,118,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,APAC,Peter Ferguson,Medium
10236,22,100,1,3-Apr-04,2852.08,Shipped,Motorcycles,118,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,NA,Rosa Hernandez,Small
10251,44,100,5,18-May-04,5756.52,Shipped,Motorcycles,118,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,NA,William Brown,Medium
